Paper Title,Design,Condition,Effect Size,Mean/Change,SD/SMD,Female Participant Proportion,Variance
Unexpected Vection Exacerbates Cybersickness During HMD-Based Virtual Reality,Between,All,1.402012579,55.73,39.75,0.5,0.066093988
The impact of task workload on cybersickness,Between,No-Task,0.898181818,24.7,27.5,0.35,0.027516966
The impact of task workload on cybersickness,Between,0-Back,0.901176471,38.3,42.5,0.35,0.027569794
The impact of task workload on cybersickness,Between,2-Back,1.268240343,59.1,46.6,0.35,0.0353768
The Effects of Secondary Task Demands on Cybersickness in Active Exploration Virtual Reality Experiences,Between,SIL-Low,2.127923977,58.22,27.36,0.36,0.296730021
The Effects of Secondary Task Demands on Cybersickness in Active Exploration Virtual Reality Experiences,Between,SIL-High,4.178184535,111.85,26.77,0.36,0.884419364
The Effects of Secondary Task Demands on Cybersickness in Active Exploration Virtual Reality Experiences,Between,STD-1-back,2.412290104,67.52,27.99,0.36,0.355415616
The Effects of Secondary Task Demands on Cybersickness in Active Exploration Virtual Reality Experiences,Between,STD-2-back,3.591036415,102.56,28.56,0.45,0.677070115
Analysis on Mitigation of Visually Induced Motion Sickness by Applying Dynamical Blurring on a User's Retina,Between,blur disabled,2.490480508,27.47,11.03,0.5,0.205062329
Analysis on Mitigation of Visually Induced Motion Sickness by Applying Dynamical Blurring on a User's Retina,Between,blur enabled,1.367409685,17.79,13.01,0.5,0.096745231
"The Effects of Auditory, Visual, and Cognitive Distractions on Cybersickness in Virtual Reality",Between,ND,2.578568213,57.27,22.21,0.55,0.216225351
"The Effects of Auditory, Visual, and Cognitive Distractions on Cybersickness in Virtual Reality",Between,AD,1.210526316,26.91,22.23,0.5,0.086634349
"The Effects of Auditory, Visual, and Cognitive Distractions on Cybersickness in Virtual Reality",Between,VD,1.556429232,33.65,21.62,0.62,0.105296951
"The Effects of Auditory, Visual, and Cognitive Distractions on Cybersickness in Virtual Reality",Between,CD,1.234473447,27.43,22.22,0.45,0.088098117
WalkingVibe: Reducing Virtual Reality Sickness and Improving Realism while Walking in VR using Unobtrusive Head-mounted Vibrotactile Feedback,Between,visual-only w/o head bobbing,1.193010753,22.19,18.6,0.57,0.057054578
